ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (mm)","Width (mm)","Height (mm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Bundled Items (JSON-encoded)","Bundle Layout","Bundle Group Mode","Bundle Cart Editing","Bundle Sold Individually","Bundle Form Location","Bundle Sells","Bundle Sells Title","Bundle Sells Discount","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 visible","Attribute 4 global","Attribute 5 name","Attribute 5 value(s)","Attribute 5 visible","Attribute 5 global","Attribute 6 name","Attribute 6 value(s)","Attribute 6 visible","Attribute 6 global","Attribute 7 name","Attribute 7 value(s)","Attribute 7 visible","Attribute 7 global","Attribute 8 name","Attribute 8 value(s)","Attribute 8 visible","Attribute 8 global","Attribute 9 name","Attribute 9 value(s)","Attribute 9 visible","Attribute 9 global","Attribute 10 name","Attribute 10 value(s)","Attribute 10 visible","Attribute 10 global","Attribute 11 name","Attribute 11 value(s)","Attribute 11 visible","Attribute 11 global","Attribute 12 name","Attribute 12 value(s)","Attribute 12 visible","Attribute 12 global","Attribute 13 name","Attribute 13 value(s)","Attribute 13 visible","Attribute 13 global","Attribute 14 name","Attribute 14 value(s)","Attribute 14 visible","Attribute 14 global"
6775,simple,RJ4000112,"Joyroom JR-SP1 Wireless Single Earbud White",1,0,visible,"<ul>
\n 	<li>Powerful power reserve, charging for 30 minutes, listening for 3 hours</li>
\n 	<li>Intelligent touch technology, no pressure touch</li>
\n 	<li>Touch long-press to wake up Siri, smart and convenient life</li>
\n</ul>",,,,taxable,,1,9,,0,0,,,,,0,,,58,"Audio > Airpods &amp; Earbuds, Audio",,,"https://orjeen.com/wp-content/uploads/Joyroom-JR-SP1-Wireless-Single-Earbud-White.jpg, https://orjeen.com/wp-content/uploads/Joyroom-JR-SP1-Wireless-Single-Earbud-White....jpg, https://orjeen.com/wp-content/uploads/Joyroom-JR-SP1-Wireless-Single-Earbud-White...jpg, https://orjeen.com/wp-content/uploads/Joyroom-JR-SP1-Wireless-Single-Earbud-White..jpg",,,,,,,,,0,,,,,,,,,,Brand,Joyroom,1,1,Color,White,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6834,simple,RJ4000114,"Joyroom JR-T03S Wireless Earphones White",1,0,visible,"<ul>
\n 	<li>Popup pairing, pair and connect automatically when open the charging bin</li>
\n 	<li>New touch control technology, comfortable to wear</li>
\n 	<li>Support wireless charging function</li>
\n 	<li>IOS/ Android compatible</li>
\n</ul>",,,,taxable,,1,43,,0,1,,,,,0,,,99,"Audio > Airpods &amp; Earbuds, Audio",,,"https://orjeen.com/wp-content/uploads/Joyroom-JR-T03S-Wireless-Earphones-White-1.jpg, https://orjeen.com/wp-content/uploads/Joyroom-JR-T03S-Wireless-Earphones-White2-1.jpg",,,,,,,,,0,,,,,,,,,,Brand,Joyroom,1,1,Color,White,1,1,Model,JR-T03S,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6838,simple,RJ4000115,"Joyroom JR-T05 Bluetooth Headphone Black",1,0,visible,"<ul>
\n 	<li>Delivers a powerful sound and deep bass to enhance your music experience</li>
